Level	Rule Name	Subject	Property	Value
WARN	missing_definition	http://purl.obolibrary.org/obo/pato#towards	IAO:0000115		
WARN	missing_definition	oboInOwl:SubsetProperty	IAO:0000115		
WARN	missing_definition	oboInOwl:consider	IAO:0000115		
WARN	missing_definition	oboInOwl:hasAlternativeId	IAO:0000115		
WARN	missing_definition	oboInOwl:hasBroadSynonym	IAO:0000115		
WARN	missing_definition	oboInOwl:hasDbXref	IAO:0000115		
WARN	missing_definition	oboInOwl:hasExactSynonym	IAO:0000115		
WARN	missing_definition	oboInOwl:hasNarrowSynonym	IAO:0000115		
WARN	missing_definition	oboInOwl:hasOBOFormatVersion	IAO:0000115		
WARN	missing_definition	oboInOwl:hasOBONamespace	IAO:0000115		
WARN	missing_definition	oboInOwl:hasRelatedSynonym	IAO:0000115		
WARN	missing_definition	oboInOwl:inSubset	IAO:0000115		
WARN	missing_definition	oboInOwl:shorthand	IAO:0000115		
INFO	lowercase_definition	PATO:0002401	IAO:0000115	characterised by an unidentifiable pattern.	
INFO	lowercase_definition	PATO:0015026	IAO:0000115	quality, state, or degree of being stable.	
INFO	lowercase_definition	http://purl.obolibrary.org/obo/pato#decreased_in_magnitude_relative_to	IAO:0000115	q1 decreased_in_magnitude_relative_to q2 if and only if magnitude(q1) < magnitude(q2). Here, magnitude(q) is a function that maps a quality to a unit-invariant scale.	
INFO	lowercase_definition	http://purl.obolibrary.org/obo/pato#different_in_magnitude_relative_to	IAO:0000115	q1 different_in_magnitude_relative_to q2 if and only if magnitude(q1) NOT =~ magnitude(q2). Here, magnitude(q) is a function that maps a quality to a unit-invariant scale.	
INFO	lowercase_definition	http://purl.obolibrary.org/obo/pato#directly_associated_with	IAO:0000115	q1 directly_associated_with q2 iff q1 is dependent on q2, and the magnitude of q1 increases if the magnitude of q2 is increased, or the magnitude of q1 decreases if the magnitude of q2 is decreased. The relationship is not necessarily linear.	
INFO	lowercase_definition	http://purl.obolibrary.org/obo/pato#has_cross_section	IAO:0000115	s3 has_cross_section s3 if and only if : there exists some 2d plane that intersects the bearer of s3, and the impression of s3 upon that plane has shape quality s2.	
INFO	lowercase_definition	http://purl.obolibrary.org/obo/pato#increased_in_magnitude_relative_to	IAO:0000115	q1 increased_in_magnitude_relative_to q2 if and only if magnitude(q1) > magnitude(q2). Here, magnitude(q) is a function that maps a quality to a unit-invariant scale.	
INFO	lowercase_definition	http://purl.obolibrary.org/obo/pato#inversely_associated_with	IAO:0000115	q1 inversely_associated_with q2 iff q1 is dependent on q2, and the magnitude of q1 decreases if the magnitude of q2 is increased, or the magnitude of q1 increases if the magnitude of q2 is decreased. The relationship is not necessarily linear.	
INFO	lowercase_definition	http://purl.obolibrary.org/obo/pato#reciprocal_of	IAO:0000115	q1 reciprocal_of q2 if and only if : q1 and q2 are relational qualities and a phenotype e q1 e2 mutually implies a phenotype e2 q2 e.	
INFO	lowercase_definition	http://purl.obolibrary.org/obo/pato#similar_in_magnitude_relative_to	IAO:0000115	q1 similar_in_magnitude_relative_to q2 if and only if magnitude(q1) =~ magnitude(q2). Here, magnitude(q) is a function that maps a quality to a unit-invariant scale.	
INFO	missing_superclass	PATO:0000001	rdfs:subClassOf		
INFO	missing_superclass	PATO:0001304	rdfs:subClassOf		
INFO	missing_superclass	PATO:0001307	rdfs:subClassOf		
INFO	missing_superclass	PATO:0001308	rdfs:subClassOf		
INFO	missing_superclass	PATO:0001583	rdfs:subClassOf		
INFO	missing_superclass	PATO:0001584	rdfs:subClassOf		
INFO	missing_superclass	PATO:0001587	rdfs:subClassOf		
INFO	missing_superclass	PATO:0001588	rdfs:subClassOf		
INFO	missing_superclass	PATO:0001612	rdfs:subClassOf		
INFO	missing_superclass	PATO:0001613	rdfs:subClassOf		
INFO	missing_superclass	PATO:0001957	rdfs:subClassOf		
INFO	missing_superclass	PATO:0001958	rdfs:subClassOf		
INFO	missing_superclass	PATO:0010004	rdfs:subClassOf		
INFO	missing_superclass	PATO:0015010	rdfs:subClassOf		
INFO	missing_superclass	PATO:0015011	rdfs:subClassOf		
INFO	missing_superclass	PATO:0015014	rdfs:subClassOf		
INFO	missing_superclass	PATO:0015015	rdfs:subClassOf		
INFO	missing_superclass	PATO:0015022	rdfs:subClassOf		
INFO	missing_superclass	PATO:0015023	rdfs:subClassOf		
INFO	missing_superclass	PATO:0015024	rdfs:subClassOf		
INFO	missing_superclass	PATO:0015025	rdfs:subClassOf		
INFO	missing_superclass	PATO:0015027	rdfs:subClassOf		
INFO	missing_superclass	PATO:0015028	rdfs:subClassOf		
INFO	missing_superclass	PATO:0045074	rdfs:subClassOf		
INFO	missing_superclass	PATO:0045075	rdfs:subClassOf		
INFO	missing_superclass	PATO:0045076	rdfs:subClassOf		
INFO	missing_superclass	PATO:0045077	rdfs:subClassOf		
INFO	missing_superclass	PATO:0045078	rdfs:subClassOf		
INFO	missing_superclass	PATO:0055001	rdfs:subClassOf		
INFO	missing_superclass	PATO:0055002	rdfs:subClassOf		
