?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/PATO_0001569>		
<http://purl.obolibrary.org/obo/GO_0006887>	"A process of secretion by a cell that results in the release of intracellular molecules (e.g. hormones, matrix proteins) contained within a membrane-bounded vesicle. Exocytosis can occur either by full fusion, when the vesicle collapses into the plasma membrane, or by a kiss-and-run mechanism that involves the formation of a transient contact, a pore, between a granule (for example of chromaffin cells) and the plasma membrane. The latter process most of the time leads to only partial secretion of the granule content. Exocytosis begins with steps that prepare vesicles for fusion with the membrane (tethering and docking) and ends when molecules are secreted from the cell."	"Wikipedia:Exocytosis"
<http://purl.obolibrary.org/obo/UBERON_0010046>	"The sum total of mesenchymal tissue in the pharyngeal arch region. Pharyngeal mesenchyme is undifferentiated, loose connective tissue derived mostly from mesoderm, and also contains ectodermally derived neural crest cells."	"EHDAA2:0001459 EMAPA:16550 XAO:0004524"
<http://purl.obolibrary.org/obo/PATO_0002396>	"A positional quality inhering in a bearer by virtue of the bearer's being positioned towards the axis of an organism."	
<http://purl.obolibrary.org/obo/PATO_0002351>	"A structural quality inhering in a bearer by virtue of the bearer resembling or containing flesh."	
<http://purl.obolibrary.org/obo/PATO_0000105>		
<http://purl.obolibrary.org/obo/PATO_0000238>		
<http://purl.obolibrary.org/obo/PATO_0002384>	"Presence of long chain aliphatic lipids on the surface of an organism."	
<http://purl.obolibrary.org/obo/GO_0061105>	"Any process that modulates the rate, frequency or extent of the differentiation of a neuroendocrine cell in the stomach."	
<http://purl.obolibrary.org/obo/GO_0010634>	"Any process that activates or increases the frequency, rate or extent of epithelial cell migration."	
<http://purl.obolibrary.org/obo/GO_0050768>	"Any process that stops, prevents, or reduces the frequency, rate or extent of neurogenesis, the generation of cells within the nervous system."	
<http://purl.obolibrary.org/obo/GO_1905902>	"Any process that modulates the frequency, rate or extent of mesoderm formation."	
<http://purl.obolibrary.org/obo/PATO_0002213>	"A concave 3-D shape quality inhering in a bearer by virtue of the bearer's shape being inversely clavate."	
<http://purl.obolibrary.org/obo/UBERON_0002333>	"An arterial trunk which is continuous with the heart and branches into the pulmonary arteries."	"FMA:8612 EMAPA:17015 galen:PulmonaryTrunk NCIT:C116918 EHDAA2:0001576 MA:0002033 EHDAA:9831 VHOG:0001134"
<http://purl.obolibrary.org/obo/GO_0003353>	"Any process that increases the rate, frequency, or extent of cilium movement, the directed, self-propelled movement of a cilium."	
<http://purl.obolibrary.org/obo/GO_0014888>	"Any process in which striated muscle adapts, with consequent modifications to structural and/or functional phenotypes, in response to a stimulus. Stimuli include contractile activity, loading conditions, substrate supply, and environmental factors. These adaptive events occur in both muscle fibers and associated structures (motoneurons and capillaries), and they involve alterations in regulatory mechanisms, contractile properties and metabolic capacities."	
<http://purl.obolibrary.org/obo/PATO_0000239>		
<http://purl.obolibrary.org/obo/GO_0021523>	"The process in which neuroepithelial cells in the neural tube acquire specialized structural and/or functional features of somatic motor neurons. Somatic motor neurons innervate skeletal muscle targets and are responsible for transmission of motor impulses from the brain to the periphery. Differentiation includes the processes involved in commitment of a cell to a specific fate."	
<http://purl.obolibrary.org/obo/GO_0034769>	"The controlled breakdown of the basement membrane in the context of a normal process such as imaginal disc eversion."	
<http://purl.obolibrary.org/obo/PATO_0000106>		
<http://purl.obolibrary.org/obo/CL_0000556>	"A large hematopoietic cell (50 to 100 micron) with a lobated nucleus. Once mature, this cell undergoes multiple rounds of endomitosis and cytoplasmic restructuring to allow platelet formation and release."	"CALOHA:TS-0611 FMA:83555 BTO:0000843"
<http://purl.obolibrary.org/obo/PATO_0001973>	"A shape quality inhering in a bearer by virtue of the bearer's being tapering gradually into a rigid point."	
<http://purl.obolibrary.org/obo/GO_0035261>	"The process in which the anatomical structures of the external genitalia are generated and organized. The external genitalia are the outer sex organs, such as the penis or vulva in mammals."	
<http://purl.obolibrary.org/obo/CL_0002521>	"An adipocyte that is part of subcutaneous adipose tissue."	
<http://purl.obolibrary.org/obo/CHEBI_15841>	"A peptide containing ten or more amino acid residues."	"KEGG:C00403"
<http://purl.obolibrary.org/obo/GO_0008219>	"Any biological process that results in permanent cessation of all vital functions of a cell. A cell should be considered dead when any one of the following molecular or morphological criteria is met: (1) the cell has lost the integrity of its plasma membrane; (2) the cell, including its nucleus, has undergone complete fragmentation into discrete bodies (frequently referred to as apoptotic bodies). The cell corpse (or its fragments) may be engulfed by an adjacent cell in vivo, but engulfment of whole cells should not be considered a strict criteria to define cell death as, under some circumstances, live engulfed cells can be released from phagosomes (see PMID:18045538)."	
<http://purl.obolibrary.org/obo/NCBITaxon_89593>		"GC_ID:1"
<http://purl.obolibrary.org/obo/UBERON_0003041>	"A nerve fiber that is part of a trigeminal nerve."	"BIRNLEX:974 FMA:72501 BAMS:5nf"
<http://purl.obolibrary.org/obo/UBERON_0002522>	"The middle layer of an artery or vein. [WP,unvetted]."	"SCTID:61695000 BTO:0002011 MA:0002855 MESH:D017540 NCIT:C33821 GAID:170 EMAPA:36298 Wikipedia:Tunica_media FMA:55590"
<http://purl.obolibrary.org/obo/GO_0060420>	"Any process that modulates the rate or extent of heart growth. Heart growth is the increase in size or mass of the heart."	
<http://purl.obolibrary.org/obo/UBERON_0014705>	"An epithelium that is part of a median lingual swelling."	"EHDAA2:0001085 EMAPA:17188"
<http://purl.obolibrary.org/obo/GO_2001141>	"Any process that modulates the frequency, rate or extent of RNA biosynthetic process."	
<http://purl.obolibrary.org/obo/PATO_0002103>	"A structural quality inhering in a bearer by virtue of the bearer's penetrating or permeating another substance or area."	
<http://purl.obolibrary.org/obo/PATO_0045094>	"West is one of the four cardinal directions or points of the compass. It is the opposite direction from east."	
<http://purl.obolibrary.org/obo/PATO_0055002>	"A spatial distribution of a process in which the process occupies a greater length, area, or volume than the reference process. For example, heterochromatin may form over a shorter length of a chromosome in a mutant than in wild type."	
<http://purl.obolibrary.org/obo/UBERON_0001651>	"The pulmonary artery that supplies the right lung."	"galen:RightPulmonaryArtery Wikipedia:Right_pulmonary_artery SCTID:244235003 NCIT:C33489 MA:0002500 FMA:50872"
<http://purl.obolibrary.org/obo/UBERON_0011595>	"A subdivision of the head that corresponds to the jaw skeleton, containing both soft tissue, skeleton and teeth (when present). The jaw region is divided into upper and lower regions."	"NCIT:C114916 EMAPA:32905"
<http://purl.obolibrary.org/obo/UBERON_0011134>	"Joint in which the articulating bones or cartilages are connected by ligaments or fibrocartilage without an intervening synovial cavity. Examples: sagittal suture, inferior tibiofibular syndesmosis, costochondral joint, pubic symphysis."	"FMA:7491"
<http://purl.obolibrary.org/obo/GO_0051175>	"Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving sulfur or compounds containing sulfur."	
<http://purl.obolibrary.org/obo/GO_0051176>	"Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving sulfur or compounds containing sulfur."	
<http://purl.obolibrary.org/obo/PATO_0000850>		
<http://purl.obolibrary.org/obo/PATO_0002339>	"A quality of being covered with stiff or rough hairs."	
<http://purl.obolibrary.org/obo/PATO_0001082>		
<http://purl.obolibrary.org/obo/PATO_0000021>	"A quality inhering in a bearer by virtue of the bearer's disposition to harmonious coexistence."	
<http://purl.obolibrary.org/obo/PATO_0000276>	"A reproductive quality inhering in the young of an animal by virtue of their number."	
<http://purl.obolibrary.org/obo/UBERON_0001780>	"The any of the paired peripheral nerves formed by the union of the dorsal and ventral spinal roots from each spinal cord segment[MP,modified]."	"EMAPA:16989 AAO:0011101 EHDAA2:0001898 GAID:841 neuronames:1228 FMA:5858 Wikipedia:Spinal_nerve SCTID:361099009 NCIT:C12792 MA:0000233 BAMS:spin MESH:D013127 VHOG:0000824 BTO:0000870 XAO:0003101"
<http://purl.obolibrary.org/obo/PATO_0095006>	"A quality of a process that happens during the hours of darkness."	
<http://purl.obolibrary.org/obo/GO_1904014>	"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a serotonin stimulus."	
<http://purl.obolibrary.org/obo/PATO_0002374>	"Recurrent and often more or less cyclic alteration."	
<http://purl.obolibrary.org/obo/PATO_0000460>	"A quality inhering in a bearer by virtue of the bearer's deviation from normal or average."	
<http://purl.obolibrary.org/obo/PATO_0001467>	"A curvature quality inhering in a bearer by virtue of the bearer's being curved towards the part of the body from which the tail arises."	
<http://purl.obolibrary.org/obo/GO_0099503>	"A cytoplasmic, membrane bound vesicle that is capable of fusing to the plasma membrane to release its contents into the extracellular space."	
<http://purl.obolibrary.org/obo/GO_0097534>	"The orderly movement of a lymphoid lineage cell from one site to another. A lymphoid lineage cell, also called a lymphoid lineage restricted progenitor cell, is a progenitor cell restricted to the lymphoid lineage."	
<http://purl.obolibrary.org/obo/GO_0031253>	"The portion of the plasma membrane surrounding a plasma membrane bounded cell surface projection."	
<http://purl.obolibrary.org/obo/CL_0002352>	"A hematopoietic stem cell that exists during embryogenesis."	
<http://purl.obolibrary.org/obo/UBERON_0003500>	"A blood vessel that is part of a cornea [Automatically generated definition]."	"MA:0001241 EMAPA:36611"
<http://purl.obolibrary.org/obo/PATO_0002203>	"Handedness where the organism preferentially uses the right hand or foot for tasks requiring the use of a single hand or foot or a dominant hand or foot."	
<http://purl.obolibrary.org/obo/GO_0045446>	"The process in which a mesodermal, bone marrow or neural crest cell acquires specialized features of an endothelial cell, a thin flattened cell. A layer of such cells lines the inside surfaces of body cavities, blood vessels, and lymph vessels, making up the endothelium."	
<http://purl.obolibrary.org/obo/UBERON_0035398>		"UMLS:C0447038 NCIT:C32552 SCTID:244216003 FMA:70505"
<http://purl.obolibrary.org/obo/CL_0000057>	"A connective tissue cell which secretes an extracellular matrix rich in collagen and other macromolecules. Flattened and irregular in outline with branching processes; appear fusiform or spindle-shaped."	"BTO:0000452 VHOG:0001482 FMA:63877 CALOHA:TS-0362 NCIT:C12482"
<http://purl.obolibrary.org/obo/GO_0060497>	"Any process that mediates the transfer of information between a mesenchymal cell and an endodermal cell."	
<http://purl.obolibrary.org/obo/PATO_0002003>	"A quality that inheres in an entire population or part of a population."	
<http://purl.obolibrary.org/obo/GO_2000818>	"Any process that stops, prevents or reduces the frequency, rate or extent of myoblast proliferation."	
<http://purl.obolibrary.org/obo/UBERON_0001072>	"A vein that carries deoxygenated blood from the lower half of the body into the right atrium of the heart."	"EMAPA:18416 XAO:0000388 FMA:10951 galen:InferiorVenaCava MESH:D014682 GAID:548 VHOG:0001194 SCTID:181369003 EHDAA2:0000611 Wikipedia:Inferior_vena_cava BTO:0002682 NCIT:C12815 AAO:0011083 MA:0000480"
<http://purl.obolibrary.org/obo/PATO_0001083>		
<http://purl.obolibrary.org/obo/GO_0045599>	"Any process that stops, prevents, or reduces the frequency, rate or extent of adipocyte differentiation."	
<http://purl.obolibrary.org/obo/CL_4030034>	"A multiciliated epithelial cell located in the respiratory tract epithelium, characterized by a columnar shape and motile cilia on its apical surface. This cell develops through a highly orchestrated process, transitioning from a basal progenitor via an intermediate deuterosomal cell stage that generates centrioles essential for ciliogenesis."	
<http://purl.obolibrary.org/obo/UBERON_0002926>	"A sensory epithelium that is part of a gustatory system."	"http://uri.neuinfo.org/nif/nifstd/nifext_12 FMA:62412"
<http://purl.obolibrary.org/obo/PATO_0001681>	"A physical quality that inheres in a homogeneous substance containing 6.02 x 1023 atoms or molecules."	
<http://purl.obolibrary.org/obo/PATO_0000851>		
<http://purl.obolibrary.org/obo/PATO_0001862>	"A fertility quality inhering in a bearer by virtue of the bearer's disposition to make its offspring sterile."	
<http://purl.obolibrary.org/obo/PATO_0000616>	"A symmetry quality inhering in a bearer by virtue of the bearer's lacking symmetry."	
<http://purl.obolibrary.org/obo/CL_0000232>	"A red blood cell. In mammals, mature erythrocytes are biconcave disks containing hemoglobin whose function is to transport oxygen."	"FMA:81100 CALOHA:TS-0290 BTO:0000424"
<http://purl.obolibrary.org/obo/GO_0060214>	"Formation of the endocardium of the heart. The endocardium is an anatomical structure comprised of an endothelium and an extracellular matrix that forms the innermost layer of tissue of the heart, and lines the heart chambers."	
<http://purl.obolibrary.org/obo/CL_0000211>	"A cell whose function is determined by the generation or the reception of an electric signal."	
<http://purl.obolibrary.org/obo/UBERON_0006222>	"The foremost region of the future forebrain that develops into the diencephalon."	"EHDAA:844 EHDAA2:0000600 RETIRED_EHDAA2:0000386 ZFA:0000574 EFO:0003442 EMAPA:16514 TAO:0000574"
<http://purl.obolibrary.org/obo/PATO_0001473>	"A quality inhering in a bearer by virtue of the bearer's being present in two copies."	
<http://purl.obolibrary.org/obo/GO_0048799>	"A developmental process, independent of morphogenetic (shape) change, that is required for an animal organ to attain its fully functional state. An organ is a tissue or set of tissues that work together to perform a specific function or functions."	
<http://purl.obolibrary.org/obo/PATO_0000169>	"An organismal quality inhering in a bearer or a population by virtue of the bearer's disposition to survive and develop normally or the number of surviving individuals in a given population."	
<http://purl.obolibrary.org/obo/GO_2001017>	"Any process that modulates the frequency, rate or extent of retrograde axon cargo transport."	
<http://purl.obolibrary.org/obo/GO_0098794>	"The part of a synapse that is part of the post-synaptic cell."	
<http://purl.obolibrary.org/obo/GO_0009966>	"Any process that modulates the frequency, rate or extent of signal transduction."	
<http://purl.obolibrary.org/obo/PATO_0055004>	"A rate of occurrence that is relatively low."	
<http://purl.obolibrary.org/obo/PATO_0001080>		
<http://purl.obolibrary.org/obo/UBERON_0000482>	"Acellular anatomical structure that consists of a thin sheet of fibrous proteins that underlie and support the cells of an epithelium. It separates the cells of an epithelium from any underlying tissue."	"AAO:0010269 BILA:0000065 FMA:62918 EHDAA2:0003065 ZFA:0001485 Wikipedia:Basal_lamina AEO:0000065 XAO:0003163 NCIT:C32186 TGMA:0001850 HAO:0000065 CARO:0000065 MESH:D001485 VHOG:0001592 TAO:0001485 WBbt:0005756 NIF_Subcellular:sao1397492660"
<http://purl.obolibrary.org/obo/PATO_0000981>		
<http://purl.obolibrary.org/obo/CL_0000122>	"A neuron that has dendritic processes radiating from the cell body forming a star-like shape."	"BTO:0002316"
<http://purl.obolibrary.org/obo/GO_0065002>	"The directed movement of proteins in a cell, from one side of a membrane to another by means of some agent such as a transporter or pore."	
<http://purl.obolibrary.org/obo/GO_0050671>	"Any process that activates or increases the rate or extent of lymphocyte proliferation."	
<http://purl.obolibrary.org/obo/PATO_0002273>	"Multicolored quality inhering in a bearer by virtue of the bearer's being colored with a variegated pattern resembling marble,."	
<http://purl.obolibrary.org/obo/PATO_0000109>		
<http://purl.obolibrary.org/obo/PATO_0002245>	"A force which relative high."	
<http://purl.obolibrary.org/obo/GO_0061448>	"The progression of a connective tissue over time, from its formation to the mature structure."	
<http://purl.obolibrary.org/obo/UBERON_0002513>	"Replacement bone that forms within cartilage."	"XAO:0004018 FMA:24321 AAO:0010776 AEO:0000083 EHDAA2:0003083 BTO:0002157 TAO:0001591 VSAO:0000145 ZFA:0001591"
<http://purl.obolibrary.org/obo/UBERON_0001769>	"The adjustable membrane, composed of the stroma and pigmented epithelium, located just in front of the crystalline lens within the eye."	"MA:0000273 Wikipedia:Iris_(anatomy) BTO:0000653 NCIT:C12737 EFO:0004245 VHOG:0000101 TAO:0001238 GAID:917 MESH:D007498 XAO:0000185 AAO:0010347 EMAPA:19154 FMA:58235 ZFA:0001238 EV:0100345 SCTID:181164000 CALOHA:TS-0491"
<http://purl.obolibrary.org/obo/GO_0097708>	"Any vesicle that is part of the intracellular region."	
<http://purl.obolibrary.org/obo/UBERON_0010378>	"Mesenchyme that develops_from a splanchnopleure."	"EHDAA2:0001122"
<http://purl.obolibrary.org/obo/UBERON_0036289>	"Region of wall of right ventricle which is continuous with the lateral and septal walls of right ventricle."	"FMA:9553"
<http://purl.obolibrary.org/obo/PATO_0001304>	"A variability quality inhering in a bearer by virtue of whether the bearer exhibits temperature variation or change."	
<http://purl.obolibrary.org/obo/PATO_0000546>	"A photosensitivity quality inhering in a bearer by virtue of the bearer's lacking photosensitivity."	
<http://purl.obolibrary.org/obo/CHEBI_52206>	"A biological role played by the molecular entity or part thereof within a biochemical context."	
<http://purl.obolibrary.org/obo/UBERON_0010212>	"Apparatus located between the lungs and the buccal cavity. This apparatus is composed of a pair of arytenoid cartilages that are supported by the cricoid ring."	"AAO:0000267 EHDAA2:0000904"
<http://purl.obolibrary.org/obo/UBERON_0004696>	"A portion of smooth muscle tissue that is part of a venous system [Automatically generated definition]."	"MA:0000715 EMAPA:36613"
<http://purl.obolibrary.org/obo/UBERON_0011272>		"EHDAA2:0001845"
<http://purl.obolibrary.org/obo/PATO_0025000>	"A physical quality inhering in a bearer by virtue of the bearer's disposition to being fit to be used as a safe means of hydration."	
<http://purl.obolibrary.org/obo/PATO_0001081>		
<http://purl.obolibrary.org/obo/GO_0021579>	"The process in which the anatomical structure of the medulla oblongata is generated and organized. The medulla oblongata lies directly above the spinal cord and controls vital autonomic functions such as digestion, breathing and the control of heart rate."	
<http://purl.obolibrary.org/obo/NCBITaxon_8457>		"GC_ID:1"
<http://purl.obolibrary.org/obo/GO_0061141>	"The process in which a relatively unspecialized cell acquires specialized features of a lung ciliated cell. A lung ciliated cell is a specialized lung epithelial cell that contains cilia for moving substances released from lung secretory cells."	
<http://purl.obolibrary.org/obo/GO_0032891>	"Any process that stops, prevents, or reduces the frequency, rate or extent of the directed movement of organic acids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."	
<http://purl.obolibrary.org/obo/GO_0051148>	"Any process that stops, prevents, or reduces the frequency, rate or extent of muscle cell differentiation."	
<http://purl.obolibrary.org/obo/PATO_0001707>	"A behavioral quality of a process inhering in a bearer by virtue of the bearer's exhibiting marked activity."	
<http://purl.obolibrary.org/obo/GO_0007143>	"A cell cycle process by which the cell nucleus divides as part of a meiotic cell cycle in the female germline."	
<http://purl.obolibrary.org/obo/GO_0060043>	"Any process that modulates the frequency, rate or extent of cardiac muscle cell proliferation."	
<http://purl.obolibrary.org/obo/GO_0003260>	"The orderly movement of a cardiac progenitor cell to form the heart field. Cardiac progenitor cells are non-terminally differentiated, mesoderm-derived cells that are committed to differentiate into cells of the heart. A cardioblast is a cardiac precursor cell. It is a cell that has been committed to a cardiac fate, but will undergo more cell division rather than terminally differentiating."	
<http://purl.obolibrary.org/obo/GO_0051469>	"The joining of the lipid bilayer membrane around a vesicle with the lipid bilayer membrane around the vacuole."	
<http://purl.obolibrary.org/obo/GO_0001677>	"Formation of a complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2 (either eIF2 in eukaryotes, or IF2 in prokaryotes). In prokaryotes, fMet-tRNA (initiator) is used rather than Met-tRNA (initiator)."	
<http://purl.obolibrary.org/obo/GO_0097386>	"A prolongation or process extending from a glial cell."	
<http://purl.obolibrary.org/obo/CHEBI_64769>	"A cationic group that contains carbon."	
<http://purl.obolibrary.org/obo/PATO_0000008>	"A physical quality inhering in a bearer by virtue of the bearer's scalar absolute value of the rate of change of the bearer's position."	
<http://purl.obolibrary.org/obo/CL_0007001>	"Cell that has the potential to form a skeletal cell type (e.g. cells in periosteum, cells in marrow) and produce extracellular matrix (often mineralized) and skeletal tissue (often mineralized)."	
<http://purl.obolibrary.org/obo/UBERON_0001568>	"The muscles associated with the larynx."	"NCIT:C32934 BTO:0001626 Wikipedia:Muscles_of_larynx GAID:144 MA:0001768 MESH:D007821 EMAPA:35473 FMA:46562 SCTID:181744001"
<http://purl.obolibrary.org/obo/PATO_0002490>	"An orientation quality inhering in a bearer by virtue of the bearer having a position that is directed anteriorly."	
<http://purl.obolibrary.org/obo/CL_0000008>	"Cell that is part of the migratory cranial neural crest population. Migratory cranial neural crest cells develop from premigratory cranial neural crest cells and have undergone epithelial to mesenchymal transition and delamination."	
<http://purl.obolibrary.org/obo/CL_0000071>	"An endothelial cell that lines the vasculature."	
<http://purl.obolibrary.org/obo/PATO_0000232>		
<http://purl.obolibrary.org/obo/GO_0098876>	"The directed movement of substances to the plasma membrane in transport vesicles that fuse with the plasma membrane by exocytosis."	
<http://purl.obolibrary.org/obo/GO_0048562>	"Morphogenesis, during the embryonic phase, of a tissue or tissues that work together to perform a specific function or functions. Morphogenesis is the process in which anatomical structures are generated and organized. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."	
<http://purl.obolibrary.org/obo/CL_0010009>	"Any photoreceptor cell that is part of some camera-type eye."	
<http://purl.obolibrary.org/obo/UBERON_0016548>	"A layer of of the central nervous system that is part of gray matter."	"FMA:83142"
<http://purl.obolibrary.org/obo/PATO_0001254>	"A color consisting of magenta with low brightness."	
<http://purl.obolibrary.org/obo/GO_1904819>	"The process whose specific outcome is the progression of a parietal peritoneum over time, from its formation to the mature structure."	
<http://purl.obolibrary.org/obo/GO_0071697>	"The process in which the anatomical structures of an ectodermal placode are generated and organized. An ectodermal placode is a thickening of the ectoderm that is the primordium of many structures derived from the ectoderm."	
<http://purl.obolibrary.org/obo/GO_0030900>	"The process whose specific outcome is the progression of the forebrain over time, from its formation to the mature structure. The forebrain is the anterior of the three primary divisions of the developing chordate brain or the corresponding part of the adult brain (in vertebrates, includes especially the cerebral hemispheres, the thalamus, and the hypothalamus and especially in higher vertebrates is the main control center for sensory and associative information processing, visceral functions, and voluntary motor functions)."	
<http://purl.obolibrary.org/obo/GO_0048823>	"The process aimed at the progression of a nucleate erythrocyte over time, from initial commitment of the cell to a specific fate, to the fully functional differentiated cell."	
<http://purl.obolibrary.org/obo/UBERON_0034713>	"Any of the cranial nerves, or their central nervous system analogs (the optic tract, the epiphyseal tract). These analogs are not true nerves, and are instead evaginated sensory afferents emanating from the brain."	
<http://purl.obolibrary.org/obo/PATO_0002329>	"A shape quality inhering in a bearer by virtue of the bearer's exhibiting a upward bending of its leaves or other plant parts."	
<http://purl.obolibrary.org/obo/GO_0021703>	"The process whose specific outcome is the progression of the locus ceruleus over time, from its formation to the mature structure. The locus ceruleus is a dense cluster of neurons within the dorsorostral pons. This nucleus is the major location of neurons that release norepinephrine throughout the brain, and is responsible for physiological responses to stress and panic."	
<http://purl.obolibrary.org/obo/PATO_0000233>		
<http://purl.obolibrary.org/obo/PATO_0000100>		
<http://purl.obolibrary.org/obo/GO_0060038>	"The expansion of a cardiac muscle cell population by cell division."	
<http://purl.obolibrary.org/obo/GO_0150119>	"Any process that stops, prevents or reduces the frequency, rate or extent of protein localization to cell-cell junction."	
<http://purl.obolibrary.org/obo/UBERON_0034905>		
<http://purl.obolibrary.org/obo/UBERON_0006562>	"The pharynx is the part of the digestive system immediately posterior to the mouth[GO]."	"MIAA:0000049 MAT:0000049 MESH:D010614"
<http://purl.obolibrary.org/obo/GO_0046929>	"Any process that stops, prevents, or reduces the frequency, rate or extent of the regulated release of a neurotransmitter."	
<http://purl.obolibrary.org/obo/PATO_0001385>	"A ploidy quality inhering in a bearer by virtue of the bearer's containing a non-integral multiple of the monoploid number, due to extra or missing chromosomes."	
<http://purl.obolibrary.org/obo/CL_0002178>	"An epithelial cell found in the lining of the stomach."	"FMA:62948"
